date,PriceUSD,CapMrktCurUSD,CapMVRVCur,SplyCur,IssTotUSD,IssTotNtv,HashRate,AdrActCnt
2011-10-07,,,,0,,,,0
2011-10-08,,,,100,,100,0.0000000000242725925925926,2
2011-10-09,,,,100,,,,0
2011-10-10,,,,100,,,,0
2011-10-11,,,,100,,,,0
2011-10-12,,,,200,,100,0.0000000000242725925925926,2
2011-10-13,,,,484450,,484250,0.00000180115839962502,9778
2011-10-14,,,,540550,,56100,0.00000257716679111111,1531
2011-10-15,,,,578650,,38100,0.00000236745159111111,1514
2011-10-16,,,,624400,,45750,0.00000338678250016035,4843
2011-10-17,,,,663050,,38650,0.00000347158618079043,3150
2011-10-18,,,,704350,,41300,0.0000037096121414397,3743
2011-10-19,,,,736500,,32150,0.00000398611134963376,2625
2011-10-20,,,,774450,,37950,0.00000475549182682138,3722
2011-10-21,,,,816000,,41550,0.00000560921822441165,3187
2011-10-22,,,,852400,,36400,0.00000607992512975433,2869
2011-10-23,,,,893800,,41400,0.00000691507968054476,3156
2011-10-24,,,,923600,,29800,0.00000583165671643745,2671
2011-10-25,,,,949750,,26150,0.00000572564831740893,2407
2011-10-26,,,,978600,,28850,0.00000631682424310698,4208
2011-10-27,,,,999950,,21350,0.00000467466889394573,1877
2011-10-28,,,,1022500,,22550,0.0000044697815635151,2639
2011-10-29,,,,1051500,,29000,0.00000541761694441348,2902
2011-10-30,,,,1088300,,36800,0.0000068747690880833,3202
2011-10-31,,,,1121300,,33000,0.00000635076071109578,3718
2011-11-01,,,,1165100,,43800,0.00000883122017297199,3928
2011-11-02,,,,1227050,,61950,0.0000155889407498851,4532
2011-11-03,,,,1272250,,45200,0.000017115725558601,3601
2011-11-04,,,,1318800,,46550,0.0000196258815594338,3948
2011-11-05,,,,1348450,,29650,0.0000182415505973845,2811
2011-11-06,,,,1379800,,31350,0.000019287440513592,2989
2011-11-07,,,,1409000,,29200,0.0000179646973842707,2800
2011-11-08,,,,1435700,,26700,0.0000169962662042055,2987
2011-11-09,,,,1462850,,27150,0.0000173334481255847,2673
2011-11-10,,,,1489150,,26300,0.000016790780320548,2602
2011-11-11,,,,1518000,,28850,0.000018176301139223,3339
2011-11-12,,,,1547050,,29050,0.0000173821530174512,2390
2011-11-13,,,,1575000,,27950,0.0000167239647792689,2869
2011-11-14,,,,1604300,,29300,0.0000175317412534017,2847
2011-11-15,,,,1633900,,29600,0.0000178077414943334,7053
2011-11-16,,,,1662350,,28450,0.0000171529409901371,41071
2011-11-17,,,,1693500,,31150,0.0000187808123670569,25375
2011-11-18,,,,1724550,,31050,0.0000190623527624688,11389
2011-11-19,,,,1754500,,29950,0.0000189880290900702,3377
2011-11-20,,,,1786850,,32350,0.0000205096073810942,2863
2011-11-21,,,,1816200,,29350,0.0000186650241063685,3358
