date,price,market_cap,realized_cap,issuance_btc,supply,hashrate
2018-01-01,4899.13,82305358591,205367768755,900.00,16800000,16955005549707415552
2018-01-02,4911.05,82507060847,204941410723,900.00,16800300,16955005549707415552
2018-01-03,4923.00,82709356125,204517245326,900.00,16800600,16955005549707415552
2018-01-04,4934.92,82911027558,204095262746,900.00,16800900,16955005549707415552
2018-01-05,4946.72,83110875186,203675448997,900.00,16801200,16955005549707415552
2018-01-06,4958.35,83307725751,203257786039,900.00,16801500,16955005549707415552
2018-01-07,4969.73,83500442307,202842251912,900.00,16801800,16955005549707415552
2018-01-08,4980.80,83687933533,202428820917,900.00,16802100,16955005549707415552
2018-01-09,4991.50,83869162706,202017463811,900.00,16802400,16955005549707415552
2018-01-10,5001.76,84043156238,201608148050,900.00,16802700,16955005549707415552
2018-01-11,5011.55,84209011715,201200838041,900.00,16803000,16955005549707415552
2018-01-12,5020.79,84365905379,200795495435,900.00,16803300,16955005549707415552
2018-01-13,5029.46,84513098984,200392079430,900.00,16803600,16955005549707415552
2018-01-14,5037.52,84649945971,199990547104,900.00,16803900,16955005549707415552
2018-01-15,5044.92,84775896911,199590853763,900.00,16804200,16955005549707415552
2018-01-16,5051.65,84890504176,199192953300,900.00,16804500,16955005549707415552
2018-01-17,5057.69,84993425793,198796798572,900.00,16804800,16955005549707415552
2018-01-18,5063.01,85084428452,198402341784,900.00,16805100,16955005549707415552
2018-01-19,5067.62,85163389635,198009534879,900.00,16805400,16955005549707415552
2018-01-20,5071.51,85230298864,197618329929,900.00,16805700,16955005549707415552
2018-01-21,5074.69,85285258035,197228679533,900.00,16806000,16955005549707415552
2018-01-22,5077.17,85328480847,196840537198,900.00,16806300,16955005549707415552
2018-01-23,5078.97,85360291331,196453857732,900.00,16806600,16955005549707415552
2018-01-24,5080.12,85381121476,196068597608,900.00,16806900,16955005549707415552
2018-01-25,5080.65,85391507979,195684715333,900.00,16807200,16955005549707415552
2018-01-26,5080.59,85392088144,195302171785,900.00,16807500,16955005549707415552
2018-01-27,5080.00,85383594956,194920930548,900.00,16807800,16955005549707415552
2018-01-28,5078.91,85366851371,194540958210,900.00,16808100,16955005549707415552
2018-01-29,5077.39,85342763861,194162224648,900.00,16808400,16955005549707415552
2018-01-30,5075.49,85312315281,193784703286,900.00,16808700,16955005549707415552
2018-01-31,5073.27,85276557083,193408371319,900.00,16809000,16955005549707415552
2018-02-01,5070.80,85236600975,193033209913,900.00,16809300,16955005549707415552
2018-02-02,5068.15,85193610062,192659204370,900.00,16809600,16955005549707415552
2018-02-03,5065.40,85148789549,192286344262,900.00,16809900,16955005549707415552
2018-02-04,5062.60,85103377091,191914623529,900.00,16810200,16955005549707415552
2018-02-05,5059.85,85058632840,191544040541,900.00,16810500,16955005549707415552
2018-02-06,5057.21,85015829304,191174598131,900.00,16810800,16955005549707415552
2018-02-07,5054.77,84976241060,190806303579,900.00,16811100,16955005549707415552
2018-02-08,5052.59,84941134442,190439168576,900.00,16811400,16955005549707415552
2018-02-09,5050.75,84911757255,190073209135,900.00,16811700,16955005549707415552
2018-02-10,5049.33,84889328620,189708445484,900.00,16812000,16955005549707415552
2018-02-11,5048.39,84875029017,189344901911,900.00,16812300,16955005549707415552
2018-02-12,5048.00,84869990619,188982606581,900.00,16812600,16955005549707415552
2018-02-13,5048.22,84875287989,188621591324,900.00,16812900,16955005549707415552
2018-02-14,5049.12,84891929215,188261891385,900.00,16813200,16955005549707415552
2018-02-15,5050.75,84920847561,187903545155,900.00,16813500,16955005549707415552
2018-02-16,5053.16,84962893698,187546593866,900.00,16813800,16977679221789165568
2018-02-17,5056.40,85018828582,187191081273,900.00,16814100,17000394378033115136
2018-02-18,5060.50,85089317038,186837053304,900.00,16814400,17023013471938095104
2018-02-19,5065.50,85174922105,186484557696,900.00,16814700,17045401470044252160
2018-02-20,5071.43,85276100181,186133643620,900.00,16815000,17067426931863826432
2018-02-21,5078.30,85393197033,185784361284,900.00,16815300,17088963052153145344
2018-02-22,5086.14,85526444672,185436761534,900.00,16815600,17109888658313590784
2018-02-23,5094.94,85675959156,185090895445,900.00,16815900,17130089156300328960
2018-02-24,5104.70,85841739317,184746813911,900.00,16816200,17149457419010058240
2018-02-25,5115.43,86023666440,184404567231,900.00,16816500,17167894611705389056
2018-02-26,5127.11,86221504888,184064204707,900.00,16816800,17185310949605609472
2018-02-27,5139.70,86434903682,183725774238,900.00,16817100,17201626383327428608
2018-02-28,5153.20,86663399024,183389321935,900.00,16817400,17216771208391120896
2018-03-01,5167.56,86906417737,183054891741,900.00,16817700,17230686595515856896
2018-03-02,5182.74,87163281609,182722525074,900.00,16818000,17243325038912702464
2018-03-03,5198.70,87433212605,182392260482,900.00,16818300,17254650720246290432
2018-03-04,5215.38,87715338904,182064133330,900.00,16818600,17264639786378635264
2018-03-05,5232.73,88008701726,181738175503,900.00,16818900,17273280539434668032
2018-03-06,5250.68,88312262879,181414415141,900.00,16819200,17280573538142836736
2018-03-07,5269.18,88624912989,181092876403,900.00,16819500,17286531609810577408
2018-03-08,5288.14,88945480332,180773579264,900.00,16819800,17291179772698447872
2018-03-09,5307.50,89272740211,180456539341,900.00,16820100,17294555068963979264
2018-03-10,5327.19,89605424791,180141767763,900.00,16820400,17296706308761948160
2018-03-11,5347.12,89942233333,179829271063,900.00,16820700,17297693726517094400
2018-03-12,5367.21,90281842729,179519051123,900.00,16821000,17297588550832961536
2018-03-13,5387.39,90622918261,179211105148,900.00,16821300,17296472489970503680
2018-03-14,5407.58,90964124496,178905425675,900.00,16821600,17294437135325966336
2018-03-15,5427.69,91304136240,178602000632,900.00,16821900,17291583285861042176
2018-03-16,5447.66,91641649443,178300813424,900.00,16822200,17288020196990941184
2018-03-17,5467.40,91975391985,178001843061,900.00,16822500,17283864758016509952
2018-03-18,5486.85,92304134243,177705064323,900.00,16822800,17279240602793932800
2018-03-19,5505.92,92626699366,177410447958,900.00,16823100,17274277158964840448
2018-03-20,5524.57,92941973156,177117960917,900.00,16823400,17269108641715826688
2018-03-21,5542.71,93248913492,176827566618,900.00,16823700,17263872998691667968
2018-03-22,5560.30,93546559200,176539225243,900.00,16824000,17258710813341124608
2018-03-23,5577.29,93834038319,176252894060,900.00,16824300,17253764174616909824
2018-03-24,5593.63,94110575667,175968527773,900.00,16824600,17249175521568798720
2018-03-25,5609.28,94375499661,175686078893,900.00,16824900,17245086471946360832
2018-03-26,5624.20,94628248326,175405498130,900.00,16825200,17241636644449693696
2018-03-27,5638.37,94868374447,175126734801,900.00,16825500,17238962484715776000
2018-03-28,5651.77,95095549802,174849737248,900.00,16825800,17237196105488306176
2018-03-29,5664.39,95309568461,174574453275,900.00,16826100,17236464151673350144
2018-03-30,5676.22,95510349097,174300830582,900.00,16826400,17236886701116174336
2018-03-31,5687.27,95697936309,174028817207,900.00,16826700,17238576211932715008
2018-04-01,5697.54,95872500919,173758361966,900.00,16827000,17241636527080415232
2018-04-02,5707.06,96034339249,173489414894,900.00,16827300,17246161946549112832
2018-04-03,5715.84,96183871377,173221927665,900.00,16827600,17252236377088606208
2018-04-04,5723.93,96321638384,172955854019,900.00,16827900,17259932568764022784
2018-04-05,5731.35,96448298597,172691150160,900.00,16828200,17269311446846943232
2018-04-06,5738.16,96564622869,172427775142,900.00,16828500,17280421546617544704
2018-04-07,5744.41,96671488923,172165691235,900.00,16828800,17293298557582630912
2018-04-08,5750.15,96769874794,171904864261,900.00,16829100,17307964982424203264
2018-04-09,5755.45,96860851432,171645263913,900.00,16829400,17324429914702743552
